code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare,code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio,code,pubDate,statDate,YOYEquity,YOYAsset,YOYNI,YOYEPSBasic,YOYPNI,code,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity,code,pubDate,statDate,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr,code,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sz000001,2018-03-15,2017-12-31,0.109324,0.219207,,23189000000.000000,1.350521,105786000000.000000,17170411366.00,16917989651.00,sz000001,2018-03-15,2017-12-31,,,,,,0.034114,sz000001,2018-03-15,2017-12-31,0.098347,0.099897,0.026107,-0.015152,0.026107,sz000001,2018-03-15,2017-12-31,,,,0.100011,0.931644,14.629207,sz000001,2018-03-15,2017-12-31,,,,,-1.122833,-5.122256,-1.122833,sz000001,2018-03-15,2017-12-31,0.109324,14.619384,0.034114,1.000000,0.219207,0.768943,,
sz000001,2019-03-07,2018-12-31,0.107415,0.212636,,24818000000.000000,1.445393,116716000000.000000,17170411366.00,17170246773.00,sz000001,2019-03-07,2018-12-31,,,,,,,sz000001,2019-03-07,2018-12-31,0.081007,0.052369,0.070249,0.069231,0.070249,sz000001,2019-03-07,2018-12-31,,,,0.050267,0.929783,14.241641,sz000001,2019-03-07,2018-12-31,,,,,-0.491132,-2.309735,-0.491132,sz000001,2019-03-07,2018-12-31,0.107415,14.427881,,1.000000,0.212636,0.770004,,
sz000001,2020-02-14,2019-12-31,0.101966,0.204374,,28195000000.000000,1.452907,137958000000.000000,19405918198.00,19405752680.00,sz000001,2020-02-14,2019-12-31,,,,,,,sz000001,2020-02-14,2019-12-31,0.303868,0.152249,0.136071,0.107914,0.136071,sz000001,2020-02-14,2019-12-31,,,,0.140799,0.920544,12.585572,sz000001,2020-02-14,2019-12-31,,,,,-0.290125,-1.419578,-0.290125,sz000001,2020-02-14,2019-12-31,0.101966,13.304393,,1.000000,0.204374,0.778008,,
sz000001,2021-02-02,2020-12-31,0.085445,0.188404,,28928000000.000000,1.490679,153542000000.000000,19405918198.00,19405754475.00,sz000001,2021-02-02,2020-12-31,,,,,,,sz000001,2021-02-02,2020-12-31,0.163421,0.134408,0.025998,-0.090909,0.025998,sz000001,2021-02-02,2020-12-31,,,,0.131904,0.918512,12.271721,sz000001,2021-02-02,2020-12-31,,,,,-0.105255,-0.558663,-0.105255,sz000001,2021-02-02,2020-12-31,0.085445,12.416792,,1.000000,0.188404,0.787071,,
sz000001,2022-03-10,2021-12-31,0.095674,0.214520,,36336000000.000000,1.872418,169383000000.000000,19405918198.00,19405521950.00,sz000001,2022-03-10,2021-12-31,,,,,,0.036078,sz000001,2022-03-10,2021-12-31,0.086005,0.101346,0.256084,0.235714,0.256084,sz000001,2022-03-10,2021-12-31,,,,0.102707,0.919647,12.445075,sz000001,2022-03-10,2021-12-31,,,,,-1.137853,-5.304189,-1.137853,sz000001,2022-03-10,2021-12-31,0.095674,12.361972,0.036078,1.000000,0.214520,0.791996,,
sz000001,2023-03-09,2022-12-31,0.109660,0.253014,,45516000000.000000,2.345470,179895000000.000000,19405918198.00,19405546950.00,sz000001,2023-03-09,2022-12-31,,,,,,0.035126,sz000001,2023-03-09,2022-12-31,0.099209,0.081305,0.252642,0.271676,0.252642,sz000001,2023-03-09,2022-12-31,,,,0.079741,0.918316,12.242371,sz000001,2023-03-09,2022-12-31,,,,,0.748059,2.956587,0.748059,sz000001,2023-03-09,2022-12-31,0.109660,12.338933,0.035126,1.000000,0.253014,0.794998,,
sz000002,2014-04-29,2014-03-31,0.020333,0.172506,0.399163,1638330423.870000,1.364881,,11014968919.00,9676185190.00,sz000002,2014-04-29,2014-03-31,3.163031,28.453725,0.016991,5297.046386,0.021109,0.019495,sz000002,2014-04-29,2014-03-31,0.121469,0.184795,-0.084409,-0.066667,-0.052311,sz000002,2014-04-29,2014-03-31,1.341034,0.343339,0.109933,0.180336,0.794492,4.865988,sz000002,2014-04-29,2014-03-31,0.924554,0.075446,0.139746,12.113912,-0.587449,-3.405376,-0.587449,sz000002,2014-04-29,2014-03-31,0.020333,6.476511,0.019495,0.933560,0.172506,0.803419,0.917450,0.234035
sz000002,2015-04-27,2015-03-31,0.007346,0.102090,0.340017,908026223.470000,1.345832,,11046108081.00,9715278134.00,sz000002,2015-04-27,2015-03-31,5.069763,17.752310,0.017942,5016.197674,0.018804,0.017196,sz000002,2015-04-27,2015-03-31,0.208496,0.062453,-0.445761,-0.575540,-0.574867,sz000002,2015-04-27,2015-03-31,1.302974,0.391483,0.105390,0.041866,0.779098,4.526889,sz000002,2015-04-27,2015-03-31,0.914756,0.085244,0.157939,27.706725,-1.725190,-16.898655,-1.725190,sz000002,2015-04-27,2015-03-31,0.007346,5.842966,0.017196,0.716094,0.102090,0.766742,0.963908,0.138134
sz000002,2016-04-28,2016-03-31,0.008298,0.085538,0.317810,1249823432.780000,1.657954,,11039152001.00,9704470347.00,sz000002,2016-04-28,2016-03-31,7.078237,12.715031,0.025525,3525.934131,0.025704,0.023008,sz000002,2016-04-28,2016-03-31,0.132312,0.252446,0.376418,0.271186,0.281439,sz000002,2016-04-28,2016-03-31,1.291051,0.387376,0.115666,0.269014,0.789403,4.748416,sz000002,2016-04-28,2016-03-31,0.895334,0.104666,0.141577,7.977510,-0.734098,-8.582116,-0.734098,sz000002,2016-04-28,2016-03-31,0.008298,6.324726,0.023008,0.666680,0.085538,0.740738,0.874648,0.132027
sz000002,2017-04-28,2017-03-31,0.006116,0.059667,0.298041,1109170821.050000,1.891883,,11039152001.00,9709067759.00,sz000002,2017-04-28,2017-03-31,9.758753,9.222490,0.027214,3307.175616,0.024876,0.021648,sz000002,2017-04-28,2017-03-31,0.132503,0.345937,-0.112538,-0.160000,-0.165406,sz000002,2017-04-28,2017-03-31,1.231996,0.448679,0.144940,0.393546,0.817327,5.474260,sz000002,2017-04-28,2017-03-31,0.871993,0.128007,0.116716,5.249554,-0.512336,-8.586537,-0.512336,sz000002,2017-04-28,2017-03-31,0.006116,7.551917,0.021648,0.626965,0.059667,0.705790,0.809508,0.104434
